"DAY","HOUR24","MINUTE","FRACTIONAL DAY","DATESTRING","ALTITUDE","AZIMUTH"
200,12,30,199.520833333333333332,"Day 200, 12:30pm",81.44656873542478,19.121878521916226
200,12,45,199.53125,"Day 200, 12:45pm",77.84121853327314,13.383249114841512
200,13,0,199.5416666666666666,"Day 200, 01:00pm",74.1691834508105,10.300908139112451
200,13,15,199.552083333333333266,"Day 200, 01:15pm",70.46804742695032,8.394919663901904
200,13,30,199.562499999999999932,"Day 200, 01:30pm",66.75171482787995,7.107801621988981
200,13,45,199.5729166666666666,"Day 200, 01:45pm",63.02647636093952,6.185328143922263
200,14,0,199.5833333333333334,"Day 200, 02:00pm",59.29558397708027,5.495591663814568
200,14,15,199.593750000000000066,"Day 200, 02:15pm",55.5608861344997,4.9635203688261775
200,14,30,199.604166666666666732,"Day 200, 02:30pm",51.82351109021868,4.54332409550945
200,14,45,199.6145833333333334,"Day 200, 02:45pm",48.08418691937641,4.20553370979891
200,15,0,199.625,"Day 200, 03:00pm",44.343405059440364,3.930359764902665
200,15,15,199.635416666666666666,"Day 200, 03:15pm",40.6015098627802,3.7040503331361987
200,15,30,199.645833333333333332,"Day 200, 03:30pm",36.85875046596396,3.5167805765956626
200,15,45,199.65625,"Day 200, 03:45pm",33.11531227128411,3.3613730598841527
200,16,0,199.6666666666666666,"Day 200, 04:00pm",29.371336830762264,3.232491853506017
200,16,15,199.677083333333333266,"Day 200, 04:15pm",25.626934849411576,3.126118700055658
200,16,30,199.687499999999999932,"Day 200, 04:30pm",21.882194958816598,3.039203504692298
200,16,45,199.6979166666666666,"Day 200, 04:45pm",18.13718981245954,2.9694262384848655
200,17,0,199.7083333333333334,"Day 200, 05:00pm",14.391980444119561,2.9150323083168703
200,17,15,199.718750000000000066,"Day 200, 05:15pm",10.64661948006792,2.8747178905479007
200,17,30,199.729166666666666732,"Day 200, 05:30pm",6.901153588425476,2.8475503847152006
200,17,45,199.7395833333333334,"Day 200, 05:45pm",3.1556254238372135,2.832914524307061
200,18,0,199.75,"Day 200, 06:00pm",-0.5899247506185059,2.8304781639517187
200,18,15,199.760416666666666666,"Day 200, 06:15pm",-4.335457627990206,2.840174138941032
200,18,30,199.770833333333333332,"Day 200, 06:30pm",-8.080933497378235,2.862196344464464
200,18,45,199.78125,"Day 200, 06:45pm",-11.826310858174777,2.897009625083194
200,19,0,199.7916666666666666,"Day 200, 07:00pm",-15.571544904558616,2.945374439854741
200,19,15,199.802083333333333266,"Day 200, 07:15pm",-19.316585759541294,3.008388798307529
200,19,30,199.812499999999999932,"Day 200, 07:30pm",-23.06137630423912,3.0875519076642073
200,19,45,199.8229166666666666,"Day 200, 07:45pm",-26.805849390327825,3.1848566969667638
200,20,0,199.8333333333333334,"Day 200, 08:00pm",-30.549924128737246,3.3029224618101707
200,20,15,199.843750000000000066,"Day 200, 08:15pm",-34.29350079210756,3.445185268567322
200,20,30,199.854166666666666732,"Day 200, 08:30pm",-38.036453609892654,3.6161741724814043
200,20,45,199.8645833333333334,"Day 200, 08:45pm",-41.778620294330906,3.8219188722350945
200,21,0,199.875,"Day 200, 09:00pm",-45.519786360990445,4.070565141481368
200,21,15,199.885416666666666666,"Day 200, 09:15pm",-49.25966089473295,4.373330234176045
200,21,30,199.895833333333333332,"Day 200, 09:30pm",-52.99783771998644,4.7460366176367765
200,21,45,199.90625,"Day 200, 09:45pm",-56.73373053684174,5.211674688304123
200,22,0,199.9166666666666666,"Day 200, 10:00pm",-60.466459090594306,5.8048958464520375
200,22,15,199.927083333333333266,"Day 200, 10:15pm",-64.19463713190258,6.580364920477718
200,22,30,199.937499999999999932,"Day 200, 10:30pm",-67.9159471387158,7.629456099351708
200,22,45,199.9479166666666666,"Day 200, 10:45pm",-71.62620304486967,9.116854320330024
200,23,0,199.9583333333333334,"Day 200, 11:00pm",-75.31701018308671,11.371136304971854
200,23,15,199.968750000000000066,"Day 200, 11:15pm",-78.96881727366407,15.14939108998808
200,23,30,199.979166666666666732,"Day 200, 11:30pm",-82.52423846743315,22.616886523985432
200,23,45,199.9895833333333334,"Day 200, 11:45pm",-85.73498538665156,42.313348377407124
201,0,0,200.0,"Day 201, 00:00am",-87.0679301917297,101.6706710347259
201,0,15,200.010416666666666666,"Day 201, 00:15am",-84.79356126455745,146.47045062070208
201,0,30,200.020833333333333332,"Day 201, 00:30am",-81.41395759478188,160.37025502992924
201,0,45,200.03125,"Day 201, 00:45am",-77.81656154605123,166.24381888196422
201,1,0,200.041666666666666664,"Day 201, 01:00am",-74.14897969480798,169.40644981641643
201,1,15,200.052083333333333330,"Day 201, 01:15am",-70.45068419572748,171.36427812785013
201,1,30,200.062499999999999996,"Day 201, 01:30am",-66.73632876030928,172.68720658220542
201,1,45,200.072916666666666664,"Day 201, 01:45am",-63.01255446494026,173.63569576760477
201,2,0,200.08333333333333333,"Day 201, 02:00am",-59.282797764376596,174.34505755778704
201,2,15,200.093749999999999996,"Day 201, 02:15am",-55.54901321597533,174.89236215551966
201,2,30,200.104166666666666662,"Day 201, 02:30am",-51.812394347037205,175.3246438086378
201,2,45,200.11458333333333333,"Day 201, 02:45am",-48.07371158802193,175.6721838461127
201,3,0,200.125,"Day 201, 03:00am",-44.33348508375337,175.95532287240383
201,3,15,200.135416666666666666,"Day 201, 03:15am",-40.59207936516537,176.18819887317377
201,3,30,200.145833333333333332,"Day 201, 03:30am",-36.8497582032659,176.38091421037402
201,3,45,200.15625,"Day 201, 03:45am",-33.106717911436895,176.54085006599004
201,4,0,200.16666666666666666,"Day 201, 04:00am",-29.36310838410282,176.67349445438978
201,4,15,200.177083333333333326,"Day 201, 04:15am",-25.619046857548334,176.782980550373
201,4,30,200.187499999999999992,"Day 201, 04:30am",-21.8746271959859,176.8724459342417
